Depth,Depth Error,Depth Seismic Stations,Magnitude,Magnitude Type,Magnitude Error,Magnitude Seismic Stations,Azimuthal Gap,Horizontal Distance,Horizontal Error,Root Mean Square,Status
10,4.7,158,6,0,0.03,4,228,0.6946,1.5,1.05,1
582.3,4.7,473,5.5,0,0.041,4,228,0.6946,1.5,0.87,1
33,4.7,149,5.8,0,0.071,4,228,0.6946,1.5,0.98,1
33,4.7,169,5.8,1,0,4,228,0.6946,1.5,1.32,1
33,4.7,116,5.6,0,0.045,4,228,0.6946,1.5,0.91,1
33,4.7,377,6.1,0,0,4,228,0.6946,1.5,0.92,1
33,4.7,79,5.5,0,0,4,228,0.6946,1.5,1.05,1
33,4.7,160,5.5,0,0.035,4,228,0.6946,1.5,0.82,1
10,4.7,202,5.6,0,0,4,228,0.6946,1.5,1.03,0
33,4.7,386,5.8,0,0.071,4,228,0.6946,1.5,1.24,0
1,4.7,255,6.1,0,0,4,228,0.6946,1.5,1.24,0
33,4.7,305,6.2,0,0,4,228,0.6946,1.5,1.51,0
10,4.7,298,5.5,0,0,4,228,0.6946,1.5,1.12,0
33,4.7,113,6.4,0,0,4,228,0.6946,1.5,1.3,0
61.7,4.7,382,5.6,0,0,4,228,0.6946,1.5,1,0
36,4.7,364,6.4,1,0,4,228,0.6946,1.5,1.14,0
183.4,4.7,131,7.2,0,0.08,4,228,0.6946,1.5,1.25,0
10,4.7,406,5.5,0,0,4,228,0.6946,1.5,0.92,0
33,4.7,79,6.5,1,0,4,228,0.6946,1.5,1.03,0
453.2,4.7,405,5.7,0,0,4,228,0.6946,1.5,0.92,0
535,4.7,211,6.2,0,0.06,4,228,0.6946,1.5,0.91,0
33,4.7,178,5.5,0,0.073,4,228,0.6946,1.5,1.39,0
33,4.7,153,5.5,0,0,4,228,0.6946,1.5,1.09,0
33,4.7,351,5.9,0,0,4,228,0.6946,1.5,1.03,0
72.4,2.2,207,5.8,0,0,4,228,0.6946,1.5,0.91,0
632.8,2.2,70,6,0,0,4,228,0.6946,1.5,1,0
33,2.2,213,5.9,0,0,4,228,0.6946,1.5,0.91,0
39.5,2.2,55,5.7,0,0.046,4,228,0.6946,1.5,1.02,0
33,2.2,282,5.8,0,0,4,228,0.6946,1.5,1.08,0
33,2.2,260,5.6,0,0.106,4,228,0.6946,1.5,0.85,0
33,2.2,169,5.8,0,0.089,4,228,0.6946,1.5,0.84,0
33,2.2,201,5.5,0,0,4,228,0.6946,1.5,1.07,0
206.9,2.2,182,6,1,0.068,4,228,0.6946,1.5,0.91,0
33,2.2,273,5.8,1,0.035,4,228,0.6946,1.5,1.01,0
33,2.2,355,5.5,0,0,4,228,0.6946,1.5,1.07,0
220.8,2.2,273,5.8,1,0,4,228,0.6946,1.5,1,0
10,2.2,95,6.1,0,0.035,4,228,0.6946,1.5,1.01,0
33,2.2,388,5.7,0,0,4,228,0.6946,1.5,1.23,0
10,2.2,566,5.8,0,0.063,4,228,0.6946,1.5,0.97,0
10,2.2,267,5.5,0,0,4,228,0.6946,1.5,1.18,0
46.8,2.2,333,5.8,0,0,4,228,0.6946,1.5,1.18,0
42.9,8.4,100,5.5,0,0.127,4,228,0.6946,1.5,1.08,0
46.3,8.4,571,5.6,0,0.075,4,228,0.6946,1.5,1.32,0
10,8.4,331,5.5,0,0.093,4,228,0.6946,1.5,0.79,0
33,8.4,661,5.8,0,0,4,228,0.6946,1.5,1.12,0
33,8.4,320,5.5,0,0,4,228,0.6946,1.5,1.04,0
33,8.4,61,6.3,1,0.032,4,228,0.6946,1.5,1.06,0
574.9,8.4,140,5.5,0,0.059,4,228,0.6946,1.5,1,0
61.1,8.4,275,6.8,0,0.071,4,228,0.6946,1.5,0.85,0
193.9,8.4,162,6,0,0.056,4,228,0.6946,1.5,0.9,0
10,8.4,60,5.5,0,0.043,4,228,0.6946,1.5,0.99,0
83.4,10.2,151,5.6,0,0,4,228,0.6946,1.5,1.12,0
7.3,10.2,40,5.7,1,0.089,4,228,0.6946,1.5,1.12,0
33,10.2,304,5.5,0,0,4,228,0.6946,1.5,0.96,0
10,10.2,367,5.5,0,0,4,228,0.6946,1.5,0.76,0
33,10.2,138,5.5,0,0,4,228,0.6946,1.5,1.15,0
33,10.2,213,6.6,0,0,4,228,0.6946,1.5,0.85,0
50.3,5.6,419,5.5,0,0,4,228,0.6946,1.5,1.11,0
10,5.6,209,5.6,0,0,4,228,0.6946,1.5,0.92,0
226.6,5.6,480,5.9,0,0.061,4,228,0.6946,1.5,0.84,0
33,5.6,467,5.9,1,0,4,228,0.6946,1.5,1.02,0
513.6,5.6,202,6,0,0.054,4,228,0.6946,1.5,0.8,0
141.4,2.8,333,5.7,1,0.045,4,228,0.6946,1.5,0.85,0
521.5,2.8,152,5.9,1,0.039,4,228,0.6946,1.5,0.85,0
33,2.8,321,5.7,0,0.058,4,228,0.6946,1.5,0.94,0
33,2.8,67,5.9,0,0.08,4,228,0.6946,1.5,1.01,0
10,2.8,305,5.6,0,0,4,228,0.6946,1.5,0.93,0
20,2.8,299,5.7,0,0.043,4,228,0.6946,1.5,0.93,0
54.7,2.8,151,5.7,0,0,4,228,0.6946,1.5,0.97,0
33,2.8,71,5.7,0,0,4,228,0.6946,1.5,0.8,0
33,2.8,78,5.5,0,0.13,4,228,0.6946,1.5,0.97,0
99.4,2.8,235,5.6,0,0,4,228,0.6946,1.5,1.17,0
33,2.8,178,5.5,0,0.046,4,228,0.6946,1.5,0.83,0
33,2.8,149,7.1,0,0,4,228,0.6946,1.5,1.2,0
33,2.8,262,5.6,0,0,4,228,0.6946,1.5,1.08,0
33,2.8,304,5.5,0,0,4,228,0.6946,1.5,1.27,0
132.2,2.8,415,6.2,1,0,4,228,0.6946,1.5,1.09,0
65,2.8,412,6.1,0,0,4,228,0.6946,1.5,1.08,0
33,2.8,379,5.7,0,0,4,228,0.6946,1.5,0.98,0
538,2.8,147,6,0,0.058,4,228,0.6946,1.5,1.07,0
10,2.8,331,6,0,0,4,228,0.6946,1.5,0.94,0
33,2.8,113,6,0,0,4,228,0.6946,1.5,1.19,0
675,2.8,262,5.8,0,0.06,4,228,0.6946,1.5,0.92,0
671.9,2.8,186,5.6,0,0.044,4,228,0.6946,1.5,0.88,0
20,2.8,229,5.5,1,0,4,228,0.6946,1.5,0.88,0
141.9,2.8,418,6.4,1,0.05,4,228,0.6946,1.5,0.91,0
10,2.8,383,6.6,0,0,4,228,0.6946,1.5,1.07,0
10,2.8,209,6.4,1,0,4,228,0.6946,1.5,1.15,0
33,2.8,389,5.9,1,0,4,228,0.6946,1.5,1.34,0
10,2.8,394,6.1,0,0.044,4,228,0.6946,1.5,1.06,0
10,2.8,119,5.5,0,0.063,4,228,0.6946,1.5,1.21,0
33,2.8,402,5.5,0,0.081,4,228,0.6946,1.5,1.13,0
33,2.8,352,5.5,1,0.042,4,228,0.6946,1.5,1.17,0
33,2.8,233,5.5,0,0.08,4,228,0.6946,1.5,1.33,0
62,2.8,238,6.3,0,0,4,228,0.6946,1.5,0.87,0
10,2.8,166,5.7,0,0.048,4,228,0.6946,1.5,0.94,0
10,2.8,129,5.6,0,0.033,4,228,0.6946,1.5,1.2,0
10,2.8,237,5.6,0,0.044,4,228,0.6946,1.5,1.43,0
10,2.8,80,5.9,0,0.041,4,228,0.6946,1.5,0.91,0
10,2.8,137,5.5,0,0.052,4,228,0.6946,1.5,1.04,0
4.803,2.3,158,5.7,5,0,4,228,0.6946,1.5,0.29,0
10,2.3,473,5.6,0,0,4,228,0.6946,1.5,1.07,0
10,2.3,149,5.5,0,0.045,4,228,0.6946,1.5,1.05,0
551.9,2.3,169,5.5,0,0,4,228,0.6946,1.5,0.91,0
95.5,5.2,116,5.5,0,0,4,228,0.6946,1.5,1.07,0
102.7,5.2,377,5.9,0,0.043,4,228,0.6946,1.5,0.98,0
10,5.2,79,5.7,0,0.038,4,228,0.6946,1.5,1.29,0
168.7,5.2,160,5.5,0,0,4,228,0.6946,1.5,1.02,0
10,5.2,202,5.6,0,0.059,4,228,0.6946,1.5,1.35,0
33,5.2,386,5.6,0,0,4,228,0.6946,1.5,1.05,0
126.5,5.2,255,7.6,0,0.039,4,228,0.6946,1.5,1.22,0
10,5.2,305,5.8,0,0,4,228,0.6946,1.5,0.99,0
608.1,4,298,5.6,0,0.047,4,228,0.6946,1.5,0.67,0
555.8,3.8,113,5.7,1,0,4,228,0.6946,1.5,0.8,0
104.9,3.8,382,5.6,0,0.062,4,228,0.6946,1.5,0.78,0
187,3.8,364,5.5,1,0.062,4,228,0.6946,1.5,1.07,0
150,3.8,131,6.2,0,0.055,4,228,0.6946,1.5,1.04,0
38,3.8,406,5.5,0,0.089,4,228,0.6946,1.5,1.04,0
153.2,5.7,79,5.5,0,0.109,4,228,0.6946,1.5,1.19,0
207.6,5.7,405,5.7,0,0,4,228,0.6946,1.5,0.76,0
10,5.7,211,6.3,0,0.042,4,228,0.6946,1.5,0.99,0
33,5.7,178,5.6,0,0.033,4,228,0.6946,1.5,1.12,0
201.2,5.7,153,5.8,0,0.083,4,228,0.6946,1.5,0.85,0
54.5,5.7,351,5.7,0,0.078,4,228,0.6946,1.5,0.85,0
33,5.7,207,5.9,0,0.08,4,228,0.6946,1.5,1.15,0
65.4,5.7,70,5.6,0,0,4,228,0.6946,1.5,0.89,0
539.3,5.7,213,5.6,0,0.045,4,228,0.6946,1.5,0.88,0
56.6,7.3,55,5.5,0,0.106,4,228,0.6946,1.5,1.11,0
86.3,8.5,282,5.5,0,0.066,4,228,0.6946,1.5,1.32,0
10,8.5,260,5.8,0,0.04,4,228,0.6946,1.5,1.02,0
33,8.5,169,5.7,0,0,4,228,0.6946,1.5,1.13,0
220.7,8.5,201,6,0,0,4,228,0.6946,1.5,0.91,0
33,8.5,182,6,0,0.046,4,228,0.6946,1.5,0.92,0
346.5,8.5,273,5.5,0,0,4,228,0.6946,1.5,0.82,0
33,8.5,355,5.5,0,0.071,4,228,0.6946,1.5,1.21,0
608.5,8.5,273,7,1,0.048,4,228,0.6946,1.5,0.89,0
609.8,8.5,95,6.1,0,0.038,4,228,0.6946,1.5,0.91,0
105.2,4.2,388,5.6,0,0.042,4,228,0.6946,1.5,0.98,0
10,4.2,566,5.6,0,0.057,4,228,0.6946,1.5,1.54,0
33,4.2,267,5.6,0,0.052,4,228,0.6946,1.5,0.81,0
33,4.2,333,5.5,0,0,4,228,0.6946,1.5,1.16,0
124.6,4.2,100,5.7,0,0.052,4,228,0.6946,1.5,0.78,0
10,4.2,571,5.5,0,0,4,228,0.6946,1.5,1.22,0
10,4.2,331,5.9,0,0.06,4,228,0.6946,1.5,1.28,0
140.5,4.2,661,5.6,0,0.066,4,228,0.6946,1.5,0.83,0
400.6,4.2,320,5.5,0,0.054,4,228,0.6946,1.5,0.81,0
55,4.2,61,6,0,0.048,4,228,0.6946,1.5,1.05,0
26,4.2,140,7.6,0,0.043,4,228,0.6946,1.5,1.14,0
33,4.2,275,5.6,0,0,4,228,0.6946,1.5,0.9,0
515.8,4.2,162,6.5,0,0,4,228,0.6946,1.5,0.94,0
33,4.2,60,5.5,0,0,4,228,0.6946,1.5,1,0
33,4.2,151,5.7,0,0.066,4,228,0.6946,1.5,1.29,0
12,4.2,40,6.3,0,0.048,4,228,0.6946,1.5,1.03,0
33,4.2,304,5.7,0,0,4,228,0.6946,1.5,0.93,0
31.3,4.2,367,5.6,0,0,4,228,0.6946,1.5,1.15,0
11.5,3.5,138,5.6,0,0.061,4,228,0.6946,1.5,1.29,0
502,3.5,213,6.1,0,0.043,4,228,0.6946,1.5,0.74,0
33,3.5,419,5.7,1,0.062,4,228,0.6946,1.5,0.9,0
10,3.5,209,5.5,0,0.061,4,228,0.6946,1.5,1.13,0
383.1,3.5,480,5.6,0,0,4,228,0.6946,1.5,0.96,0
225,4.6,467,7.2,0,0.052,4,228,0.6946,1.5,0.86,0
107.7,4.6,202,6.3,0,0,4,228,0.6946,1.5,0.89,0
33,4.6,333,5.6,0,0.093,4,228,0.6946,1.5,1.08,0
33,4.6,152,6.3,0,0.06,4,228,0.6946,1.5,1.12,0
10,4.6,321,5.5,0,0.078,4,228,0.6946,1.5,1.12,0
79.5,4.6,67,5.9,1,0.063,4,228,0.6946,1.5,0.95,0
10,4.6,305,5.5,0,0.052,4,228,0.6946,1.5,1.3,0
547.6,4.6,299,5.6,0,0.049,4,228,0.6946,1.5,1.01,0
10,4.6,151,6,0,0,4,228,0.6946,1.5,0.95,0
10,4.6,71,5.9,0,0.073,4,228,0.6946,1.5,0.99,0
33,4.6,78,5.8,0,0,4,228,0.6946,1.5,0.89,0
33,4.6,235,5.7,0,0,4,228,0.6946,1.5,1.24,0
33,4.6,178,6,0,0,4,228,0.6946,1.5,1.38,0
0,4.6,149,5.6,0,0,4,228,0.6946,1.5,1.38,0
10,4.6,262,5.9,1,0,4,228,0.6946,1.5,1.04,0
10,4.6,304,6.2,0,0,4,228,0.6946,1.5,1.12,0
76.3,4.6,415,5.5,0,0,4,228,0.6946,1.5,0.9,0
62.3,5.4,412,6.2,0,0.054,4,228,0.6946,1.5,0.89,0
33,5.4,379,7.9,0,0,4,228,0.6946,1.5,1.1,0
33,5.4,147,6.7,3,0.075,42,228,0.6946,1.5,1.26,0
33,5.4,331,6,3,0.059,119,228,0.6946,1.5,1.23,0
33,5.4,113,5.5,3,0.053,20,228,0.6946,1.5,1.02,0
33,5.4,262,5.8,0,0,20,228,0.6946,1.5,1.01,0
33,5.4,186,5.8,0,0.086,20,228,0.6946,1.5,1.09,0
33,5.4,229,5.5,0,0.169,20,228,0.6946,1.5,0.83,0
10,5.4,418,6,0,0.046,20,228,0.6946,1.5,1.04,0
33,5.4,383,6.2,0,0.146,20,228,0.6946,1.5,0.91,0
10,5.4,209,5.6,0,0.035,20,228,0.6946,1.5,1.23,0
33,5.4,389,6.4,0,0,20,228,0.6946,1.5,0.97,0
10,5.4,394,5.9,0,0,20,228,0.6946,1.5,0.87,0
86.1,4.5,119,5.5,0,0.071,20,228,0.6946,1.5,1.05,0
33,4.5,402,6.3,0,0.069,20,228,0.6946,1.5,0.86,0
33,4.5,352,6.7,0,0.063,20,228,0.6946,1.5,1.16,0
58.8,3.4,233,5.5,0,0,20,228,0.6946,1.5,1.08,0
33,3.4,238,6.3,0,0,20,228,0.6946,1.5,1.13,0
33,3.4,166,5.5,0,0.083,20,228,0.6946,1.5,1.06,0
33,3.4,129,5.5,0,0,20,228,0.6946,1.5,1.13,0
33,3.4,237,6,1,0.116,20,228,0.6946,1.5,1.39,0
33,3.4,80,6.1,0,0.098,20,228,0.6946,1.5,1.33,0
33,3.4,137,5.5,0,0.05,20,228,0.6946,1.5,0.97,0
472.6,3.4,400,5.8,0,0,20,228,0.6946,1.5,0.86,0
485.3,3.4,473,6.3,1,0.049,20,228,0.6946,1.5,0.89,0
33,3.4,149,5.5,0,0.071,20,228,0.6946,1.5,1.04,0
33,3.4,169,5.9,0,0.068,20,228,0.6946,1.5,1.12,0
76.8,3.5,116,5.5,0,0,20,228,0.6946,1.5,0.82,0
33,3.5,377,6.4,0,0,20,228,0.6946,1.5,1.03,0
33,3.5,79,5.5,0,0,20,228,0.6946,1.5,0.93,0
10,3.5,160,6.6,0,0,20,228,0.6946,1.5,1.2,0
63,3.5,202,5.7,0,0.075,20,228,0.6946,1.5,1.02,0
604.6,3.5,386,6.4,0,0.048,20,228,0.6946,1.5,0.95,0
196.5,3.1,255,5.9,0,0.05,20,228,0.6946,1.5,0.99,0
33,3.1,305,5.5,0,0,20,228,0.6946,1.5,0.73,0
89.5,3.1,298,6.3,0,0,20,228,0.6946,1.5,1.04,0
33,3.1,113,6,0,0.052,20,228,0.6946,1.5,1.04,0
10,3.1,382,6.1,0,0,20,228,0.6946,1.5,0.8,0
120.2,3.1,364,6.4,0,0.067,20,228,0.6946,1.5,0.96,0
222.6,3.1,131,5.6,0,0,20,228,0.6946,1.5,0.97,0
10,3.1,406,6.5,0,0,20,228,0.6946,1.5,1.03,0
10,3.1,79,5.7,3,0.068,34,228,0.6946,1.5,1.42,0
10,3.1,405,7.9,0,0,34,228,0.6946,1.5,1.16,0
33,3.1,211,5.7,0,0,34,228,0.6946,1.5,1.13,0
115,3.1,178,5.6,0,0.063,34,228,0.6946,1.5,1.06,0
10,3.1,153,5.8,0,0,34,228,0.6946,1.5,1.14,0
10,3.1,351,6.5,0,0,34,228,0.6946,1.5,0.9,0
112.2,3.1,207,5.9,0,0.103,34,228,0.6946,1.5,1.11,0
33,3.1,70,5.5,0,0,34,228,0.6946,1.5,1.03,0
65.3,4,213,5.8,1,0.08,34,228,0.6946,1.5,1.04,0
33,4,55,5.5,3,0.04,19,228,0.6946,1.5,0.93,0
10,4,282,6,0,0.054,19,228,0.6946,1.5,1,0
496.1,4,260,5.8,0,0.06,19,228,0.6946,1.5,0.88,0
10,4,169,5.5,0,0.081,19,228,0.6946,1.5,1.14,0
10,4,201,5.6,0,0.048,19,228,0.6946,1.5,1.31,0
52.4,4,182,5.9,0,0,19,228,0.6946,1.5,1.22,0
240.6,4,273,5.7,0,0.09,19,228,0.6946,1.5,1.19,0
10,4,355,6.1,0,0.037,19,228,0.6946,1.5,1.04,0
10,4,273,5.7,0,0,19,228,0.6946,1.5,0.77,0
33,4,95,5.6,0,0.058,19,228,0.6946,1.5,1.36,0
33,4,388,5.5,0,0.065,19,228,0.6946,1.5,0.81,0
31,4,566,5.9,0,0.027,19,228,0.6946,1.5,0.96,0
33,4,267,5.9,0,0,19,228,0.6946,1.5,0.99,0
10,4,333,5.9,0,0,19,228,0.6946,1.5,1.21,0
33,4,100,5.9,0,0,19,228,0.6946,1.5,1.08,0
359.6,4,571,5.8,0,0,19,228,0.6946,1.5,0.77,0
104.7,4,331,5.8,1,0.047,19,228,0.6946,1.5,0.93,0
43.6,4,661,6.6,1,0,19,228,0.6946,1.5,0.93,0
66.6,4,320,5.5,3,0,98,228,0.6946,1.5,0.93,0
10,4,61,5.6,0,0.11,98,228,0.6946,1.5,0.72,0
251.9,4,140,5.6,0,0,98,228,0.6946,1.5,0.75,0
10,4,275,6.1,0,0,98,228,0.6946,1.5,0.88,0
10,4,162,5.6,0,0.098,98,228,0.6946,1.5,0.93,0
10,4,60,5.7,0,0,98,228,0.6946,1.5,1.49,0
217.9,4,151,5.9,0,0,98,228,0.6946,1.5,0.98,0
33,4,40,5.6,0,0,98,228,0.6946,1.5,0.97,0
33,4,304,6.4,0,0,98,228,0.6946,1.5,1.21,0
10,4,367,6.6,0,0.078,98,228,0.6946,1.5,0.94,0
33,4,138,5.8,0,0,98,228,0.6946,1.5,1.28,0
33,4,213,6.1,0,0,98,228,0.6946,1.5,1.09,0
141.4,4,419,6.3,0,0,98,228,0.6946,1.5,1.06,0
33,4,209,5.7,0,0,98,228,0.6946,1.5,0.91,0
47.1,4,480,6,0,0.043,98,228,0.6946,1.5,0.68,0
33,4,467,6.4,0,0.067,98,228,0.6946,1.5,1.13,0
140.1,4,202,5.5,3,0,37,228,0.6946,1.5,0.96,0
52.4,4,333,5.7,0,0.35,37,228,0.6946,1.5,0.78,0
33,4,152,5.5,0,0.061,37,228,0.6946,1.5,1.05,0
80.1,4,321,5.9,1,0.26,37,228,0.6946,1.5,1.17,0
10,4,67,5.5,0,0,37,228,0.6946,1.5,0.88,0
69.1,4,305,5.7,0,0.06,37,228,0.6946,1.5,0.9,0
10,4,299,5.6,0,0.029,37,228,0.6946,1.5,0.75,0
33,4,151,5.7,0,0,37,228,0.6946,1.5,1,0
10,4,71,5.9,0,0,37,228,0.6946,1.5,0.96,0
10,4,78,5.5,0,0,37,228,0.6946,1.5,1.19,0
10,4,235,5.6,0,0,37,228,0.6946,1.5,1.05,0
10,4,178,5.5,0,0,37,228,0.6946,1.5,0.93,0
37.3,4,149,5.8,0,0,37,228,0.6946,1.5,1.2,0
33,4,262,5.7,0,0,37,228,0.6946,1.5,1.27,0
10,4,281,5.7,0,0,37,228,0.6946,1.5,0.98,0
45.6,4,177,5.6,0,0,37,228,0.6946,1.5,0.93,0
10,4,428,6.5,0,0,37,228,0.6946,1.5,0.94,0
10,4,218,5.5,3,0.029,81,228,0.6946,1.5,0.92,0
10,4,299,6.2,0,0,81,228,0.6946,1.5,0.94,0
10,4,163,6.2,1,0,81,228,0.6946,1.5,0.91,0
33,4,135,5.8,0,0,81,228,0.6946,1.5,0.94,0
10,4,54,5.9,0,0.175,81,228,0.6946,1.5,1.03,0
191.2,4,280,5.6,0,0.059,81,228,0.6946,1.5,0.79,0
33,4,218,6.6,0,0.132,81,228,0.6946,1.5,1.02,0
35,5.6,165,5.6,0,0.103,81,228,0.6946,1.5,0.92,0
101.3,5.6,98,5.6,0,0.052,81,228,0.6946,1.5,1.13,0
33,5.6,159,5.8,0,0,81,228,0.6946,1.5,1.21,0
114.8,2.5,144,5.6,0,0.044,81,228,0.6946,1.5,1.23,0
10,2.5,593,6.8,0,0,81,228,0.6946,1.5,0.89,0
140.5,3.3,185,5.5,0,0.061,81,228,0.6946,1.5,0.98,0
171.2,3.5,193,5.5,0,0.068,81,228,0.6946,1.5,0.93,0
394.8,3.5,588,7.4,0,0.035,81,228,0.6946,1.5,0.9,0
33,3.5,238,5.7,0,0,81,228,0.6946,1.5,1.15,0
648.5,3.5,517,6.5,0,0.061,81,228,0.6946,1.5,0.86,0
33,3.5,79,5.7,0,0,81,228,0.6946,1.5,1,0
33,3.5,299,6.3,0,0.15,81,228,0.6946,1.5,0.84,0
45.8,2.2,481,6.5,0,0,81,228,0.6946,1.5,1.05,0
33,2.2,222,6.4,0,0.059,81,228,0.6946,1.5,1.06,0
33,2.2,196,6,1,0,81,228,0.6946,1.5,0.89,0
10,2.2,84,5.6,0,0.081,81,228,0.6946,1.5,1.02,0
10,2.2,337,5.5,0,0,81,228,0.6946,1.5,1.31,0
10,2.2,198,6,0,0.049,81,228,0.6946,1.5,0.87,0
357.7,2.2,471,6.6,0,0.073,81,228,0.6946,1.5,0.94,0
33,2.2,345,5.8,0,0.051,81,228,0.6946,1.5,0.75,0
33,2.2,202,5.8,0,0,81,228,0.6946,1.5,0.86,0
33,2.2,112,5.6,0,0.137,81,228,0.6946,1.5,0.92,0
68.3,2.2,291,5.7,0,0.099,81,228,0.6946,1.5,0.96,0
10,2.2,287,5.7,0,0.039,81,228,0.6946,1.5,0.83,0
33,2.2,252,5.5,0,0.049,81,228,0.6946,1.5,0.87,0
62.4,2.2,470,5.7,1,0,81,228,0.6946,1.5,0.81,0
174.3,2.2,186,5.7,1,0,81,228,0.6946,1.5,1,0
33,2.2,132,5.5,0,0,81,228,0.6946,1.5,0.99,0
10,2.2,106,6.1,0,0.043,81,228,0.6946,1.5,1.05,0
70.4,4.8,161,5.7,0,0,81,228,0.6946,1.5,0.83,0
10,4.8,257,5.9,1,0.069,81,228,0.6946,1.5,1.06,0
10,4.8,184,5.5,0,0.048,81,228,0.6946,1.5,1.14,0
118.2,4.8,175,5.5,0,0.047,81,228,0.6946,1.5,0.84,0
10,4.8,25,5.5,0,0.048,81,228,0.6946,1.5,0.86,0
33,4.8,225,5.8,0,0.038,81,228,0.6946,1.5,1.02,0
548.9,4.8,237,5.5,0,0,81,228,0.6946,1.5,0.85,0
99.6,4.8,236,5.6,0,0.068,81,228,0.6946,1.5,1.03,0
88.1,2.3,246,5.6,0,0.066,81,228,0.6946,1.5,1.01,0
16,2.3,336,6.8,0,0,81,228,0.6946,1.5,1.01,0
10,2.3,168,6.1,0,0.075,81,228,0.6946,1.5,1.08,0
33,2.3,271,6,3,0.05,63,228,0.6946,1.5,1,0
33,2.3,160,6.3,1,0,63,228,0.6946,1.5,1.02,0
588.3,1.7,207,5.7,0,0,63,228,0.6946,1.5,0.93,0
33,1.7,194,6,0,0,63,228,0.6946,1.5,1.02,0
33,1.7,152,5.5,0,0,63,228,0.6946,1.5,1.09,0
587.5,1.7,231,5.7,0,0,63,228,0.6946,1.5,1.02,0
687.6,1.7,427,6,0,0,63,228,0.6946,1.5,0.86,0
363.8,1.7,312,5.8,0,0,63,228,0.6946,1.5,0.88,0
52.7,1.7,284,5.5,0,0,63,228,0.6946,1.5,0.83,0
10,1.7,264,5.8,0,0.083,63,228,0.6946,1.5,0.7,0
32.9,1.9,182,5.5,0,0.058,63,228,0.6946,1.5,0.84,0
229.3,1.9,265,5.7,0,0,63,228,0.6946,1.5,0.98,0
33,1.9,94,5.6,0,0,63,228,0.6946,1.5,0.97,0
10,1.9,130,5.9,0,0.056,63,228,0.6946,1.5,1.11,0
65.6,4.6,145,5.5,0,0.037,63,228,0.6946,1.5,1.03,0
34.8,5.9,261,5.8,0,0.048,63,228,0.6946,1.5,1.08,0
33,5.9,66,5.5,0,0,63,228,0.6946,1.5,1.06,0
33,5.9,304,6.1,1,0.083,63,228,0.6946,1.5,0.89,0
62.8,2.2,165,5.5,3,0,24,228,0.6946,1.5,0.74,0
10,2.2,190,5.5,0,0,24,228,0.6946,1.5,1.04,0
115.4,2.2,477,6.3,0,0,24,228,0.6946,1.5,0.8,0
10,2.2,432,6.1,0,0,24,228,0.6946,1.5,0.99,0
33,2.2,232,6,0,0.038,24,228,0.6946,1.5,1.09,0
33,2.2,263,6.2,0,0,24,228,0.6946,1.5,0.93,0
109.5,2.2,167,5.5,0,0,24,228,0.6946,1.5,0.75,0
211.2,2.2,208,5.5,0,0.063,24,228,0.6946,1.5,0.94,0
62.9,2.2,265,5.6,1,0,24,228,0.6946,1.5,1.04,0
228,2.2,135,5.9,1,0,24,228,0.6946,1.5,0.86,0
33,2.2,223,5.5,0,0,24,228,0.6946,1.5,1.12,0
10,2.2,22,5.6,0,0,24,228,0.6946,1.5,1.14,0
156.5,2.2,97,5.5,0,0,24,228,0.6946,1.5,0.96,0
33,2.2,256,6.2,0,0,24,228,0.6946,1.5,1.06,0
10,2.2,81,5.5,0,0,24,228,0.6946,1.5,1.05,0
10,2.2,251,5.7,0,0,24,228,0.6946,1.5,1.04,0
125,2.2,122,5.5,0,0,24,228,0.6946,1.5,0.87,0
10,2.2,205,5.9,0,0,24,228,0.6946,1.5,1.13,0
56,2.2,437,6.4,1,0,24,228,0.6946,1.5,0.92,0
142,2.2,265,5.9,0,0,24,228,0.6946,1.5,1,0
22.9,7.6,385,6.4,0,0,24,228,0.6946,1.5,0.95,0
33,7.6,86,5.6,0,0,24,228,0.6946,1.5,1.4,0
33,7.6,157,5.8,0,0,24,228,0.6946,1.5,1.23,0
34,7.6,415,6.5,1,0,24,228,0.6946,1.5,1.13,0
33,7.6,194,5.8,0,0.078,24,228,0.6946,1.5,1.2,0
33,7.6,216,5.7,0,0,24,228,0.6946,1.5,1.13,0
33,7.6,307,6.3,0,0.053,24,228,0.6946,1.5,0.89,0
10,7.6,51,5.8,0,0,24,228,0.6946,1.5,1.34,0
110.3,7.6,454,6.2,0,0,24,228,0.6946,1.5,0.9,0
23,7.6,357,7,0,0,24,228,0.6946,1.5,1.16,0
33,7.6,124,5.8,0,0,24,228,0.6946,1.5,0.96,0
10,7.6,351,6.1,0,0,24,228,0.6946,1.5,0.96,0
87.3,4.1,152,6.1,0,0,24,228,0.6946,1.5,0.91,0
10,4.1,390,6.7,0,0,24,228,0.6946,1.5,1.02,0
33,4.1,217,5.9,0,0,24,228,0.6946,1.5,1.18,0
10,4.1,89,5.7,0,0,24,228,0.6946,1.5,1.18,0
33,4.1,261,5.9,1,0.069,24,228,0.6946,1.5,0.99,0
100,4.1,185,5.6,0,0,24,228,0.6946,1.5,0.93,0
488.6,4.1,88,5.8,0,0,24,228,0.6946,1.5,0.96,0
33,4.1,76,5.6,0,0.068,24,228,0.6946,1.5,1.27,0
116.5,4.1,252,5.6,0,0,24,228,0.6946,1.5,0.77,0
